ID,RA,DEC,X,Y,FLUX_AUTO
195,248.9061891,-11.6931317,583.3984,503.4781,10266.5
196,248.9154380,-11.6924959,512.0000,499.5123,4367.429
197,248.9587076,-11.6916788,178.2202,497.9854,16388.56
198,248.9739813,-11.6912314,60.3804,496.2062,10402.68
199,248.9422934,-11.6916114,304.7946,495.5857,4430.622
200,248.8540622,-11.6922489,985.2896,490.6882,9926.705
201,248.9814616,-11.6840540,1.8533,440.5201,20494.95
202,248.9813682,-11.6858298,2.7812,454.4988,37994.54
203,248.8942041,-11.6902843,675.4982,479.6979,10494.85
204,248.8920937,-11.6898925,691.7280,476.3745,9348.673
205,248.8498145,-11.6902896,1017.8245,474.7811,6529.552
206,248.8516967,-11.6903312,1003.3143,475.3179,1542.11
207,248.8714423,-11.6897578,850.9738,473.0007,3974.944
208,248.9700044,-11.6879270,90.6635,469.7190,1005.133
209,248.9582104,-11.6878312,181.6059,467.6170,2086.605
210,248.9781810,-11.6870082,27.4986,463.4170,10768.77
211,248.9255574,-11.6871026,433.3389,458.1671,5716.003
212,248.8781268,-11.6871961,799.1310,453.5667,8293.748
213,248.9043615,-11.6866157,596.7438,451.9386,4797.64
214,248.8640340,-11.6920019,908.3611,489.8528,5719.394
215,248.8618117,-11.6870555,924.9363,450.6373,7562.338
216,248.9155592,-11.6862484,510.3454,450.3080,2578.974
217,248.9815048,-11.6880057,1.9824,471.6570,81162.1
218,248.9228412,-11.6851066,454.0551,442.1352,11948.27
219,248.9153772,-11.6855371,511.6668,444.6837,3025.245
220,248.9792708,-11.6844778,18.7986,443.6075,2544.033
221,248.9110393,-11.6849145,545.0491,439.2891,11972.47
222,248.9519705,-11.6843306,229.3206,439.3283,1621.991
223,248.8569712,-11.6849666,962.0284,433.6414,15932.79
224,248.8970361,-11.6843195,652.9737,433.0249,1298.131
225,248.8899013,-11.6841916,707.9823,431.2162,1806.874
226,248.9814429,-11.6826418,1.8319,429.3928,11772.04
227,248.9813077,-11.6819371,2.7923,423.8255,16062.81
228,248.9813894,-11.6804264,1.9849,411.9335,18871.26
229,248.8578374,-11.6848644,955.3367,432.9330,5274.589
230,248.9599627,-11.6834977,167.5878,433.6781,5183.126
231,248.8715897,-11.6836275,849.1378,424.7225,7888.816
232,248.8895098,-11.6833956,710.9109,424.9013,3643.791
233,248.8592648,-11.6834543,944.1685,421.9833,4215.371
234,248.9263411,-11.6822303,426.7321,419.8719,7544.157
235,248.8952716,-11.6821838,666.3361,416.0014,4430.514
236,248.8904406,-11.6817224,703.5409,411.8243,7343.845
237,248.8581423,-11.6817266,952.6285,408.2474,9978.699
238,248.9112872,-11.6804793,542.6271,404.3763,15090.37
239,248.9622928,-11.6795710,149.1600,403.0091,6483.342
240,248.9216994,-11.6786407,462.1144,391.0677,28206.89
241,248.9813818,-11.6779445,1.7534,392.3798,18492.66
242,248.9593242,-11.6779226,171.8629,389.6844,13142.75
243,248.9178346,-11.6783022,491.8817,387.9642,3188.995
244,248.9025448,-11.6789310,609.8709,391.1940,10131.76
245,248.9807289,-11.6768030,6.6549,383.3129,3278.85
246,248.8819872,-11.6777018,768.2744,379.2022,3685.798
247,248.8967510,-11.6775051,654.3908,379.3091,4557.008
248,248.9031774,-11.6767616,604.7432,374.1748,13949.47
249,248.9813330,-11.6744965,1.7260,365.2112,10735.31
250,248.8535271,-11.6769521,987.6797,370.1197,3193.82
251,248.8685444,-11.6749348,871.6328,355.9003,230935.5
252,248.8802961,-11.6749436,781.0015,357.2831,19804.7
253,248.8650705,-11.6754404,898.4823,359.4963,2970.591
254,248.8990173,-11.6754469,636.6758,363.3488,13299.85
255,248.9433559,-11.6735576,294.5066,353.4782,10044.76
256,248.9781732,-11.6731990,25.9435,354.6275,2232.235
257,248.9654559,-11.6729653,123.9958,351.3306,12730.26
258,248.9813020,-11.6723870,1.7177,348.5886,16480.17
259,248.9812631,-11.6710888,1.8661,338.3576,24912.19
