source_id,ra,dec
4331211532874281344,248.98562934553414,-11.658311315779505
4331222729853425792,248.93443945886924,-11.691233054963998
4331223726286628480,248.87267646162556,-11.666585468535017
4331223863724849536,248.8967429491295,-11.637350715379725
4331211150621600896,248.98984209164448,-11.686405230427594
4331223077745826048,248.9052565444566,-11.66340125936482
4331222764213172352,248.94382987298755,-11.682406547267762
4331210978822901760,248.93782461559707,-11.694151921201737
4331223902381270528,248.86872839492975,-11.646748204335264
4331209711808535168,248.9780706959006,-11.75528023134217
4331223279609283072,248.9681863642422,-11.650934649442178
4331223348328767360,248.97068805773873,-11.643342071165549
4331223485767713408,248.91732722330576,-11.650673030296115
4331211013182641280,248.95488935515908,-11.692545860437283
4331211150621594624,248.99464528150776,-11.692467652848196
4331204626566244864,248.9426408150097,-11.752442143903659
4331217026136853120,248.85507129887523,-11.696186461550244
4331210635225355264,248.97446649082252,-11.721818022236752
4331211150621595008,248.9871261452895,-11.692621425100283
4331224001163793152,248.85408620745835,-11.646240603967168
4331223455702945664,248.94110070827494,-11.637744833124545
4331224001163792256,248.85760212088655,-11.64676777053741
4331217782051096064,248.8408280230976,-11.696053488991199
4331213040407255936,248.9972608217829,-11.644307124990288
4331223417048238848,248.928679554569,-11.648101554373012
4331223451407980416,248.9333128629851,-11.645831410987233
4331211391139766144,248.9625024460391,-11.689842502068064
4331223795005360512,248.86390349037816,-11.64806503318746
4331210944463159808,248.9590148923449,-11.698180636820442
4331211562938499072,248.99478585279613,-11.651700044038028
4331211361076026752,248.98527533395063,-11.681784244626414
4331211322420281728,248.97018277966805,-11.698383080708117
4331211154917591424,248.99091073594573,-11.68555119347626
4331217060496595712,248.85921158048706,-11.690214687845055
4331210875743664128,248.92691082746097,-11.717436414968198
4331222867292377216,248.87671452987448,-11.693743463660686
4331211464154204672,248.9947959554657,-11.679551632632686
4331224104243011072,248.86263222734283,-11.643120782104546
4331211116261853184,248.98819826429,-11.696749721787524
4331223863724842368,248.88950729176852,-11.643032354380217
4331223451407981184,248.94870671970133,-11.644470345655511
4331223348328765696,248.95495400077456,-11.644821783250016
4331223795006105472,248.86177472545256,-11.64815665399139
4331222970372384256,248.88498780291124,-11.68039492374953
4331223829365843712,248.88618335649153,-11.647568085323893
4331222626774198016,248.91505887219395,-11.706352795925694
4331222867293168896,248.88350090566783,-11.694653248798344
4331223558783201024,248.95354118957044,-11.636247060384548
4331217030432615168,248.85003433326557,-11.69634868833396
4331217026136844288,248.85451883288565,-11.705667998020399
4331204794069941504,248.87980198977385,-11.755261136331468
4331210669585231872,248.98909605195598,-11.72048624991072
4331222734149181568,248.9327258768404,-11.693745903276358
4331222974667353984,248.8888979337708,-11.673652010701444
4331216991777106560,248.87616256874404,-11.705438027591958
4331204622271250176,248.9472993716766,-11.755575213442372
4331211116261848448,248.98667108544277,-11.70185917360719
4331217816410847488,248.85157395936926,-11.681875119259407
4331204759710203776,248.8946531551755,-11.755520514578254
4331222626774200192,248.9103642077603,-11.703556053543926
4331210978822896384,248.9470240856861,-11.700451499980053
4331209741872265856,248.96356756584453,-11.756639221017672
4331216996073864320,248.87169181490506,-11.696541673154098
4331222798572910080,248.90938509440633,-11.682640182167468
4331204759710200576,248.89985651695102,-11.758891810947784
4331211116261849472,248.97978160666162,-11.701476767077883
